# PhyPiDAQ Data recorder  250206-2358;
#   logging interval 0.5;
t/s;T/Grad_C
0;18.13
0.5;18.03
1;17.32
1.5;16.65
2;15.9
2.5;15.19
3;14.52
3.5;13.91
4;13.31
4.5;12.7
5;12.19
5.5;11.69
6;11.22
6.5;10.81
7;10.38
7.5;10.04
8;9.668
8.5;9.365
9;9.062
9.5;8.793
10;8.49
10.5;8.288
11;8.019
11.5;7.817
12;7.615
12.5;7.413
13;7.245
13.5;7.076
14;6.942
14.5;6.774
15;6.639
15.5;6.538
16;6.37
16.5;6.269
17;6.134
17.5;6.067
18;5.966
18.5;5.899
19;5.798
19.5;5.731
20;5.663
20.5;5.596
21;5.495
21.5;5.462
22;5.394
22.5;5.361
23;5.327
23.5;5.26
24;5.193
24.5;5.159
25;5.125
25.5;5.092
26;5.025
26.5;5.025
27;4.991
27.5;4.924
28;4.924
28.5;4.89
29;4.856
29.5;4.823
30;4.789
30.5;4.756
31;4.756
31.5;4.722
32;4.722
32.5;4.688
33;4.655
33.5;4.655
34;4.655
34.5;4.621
35;4.621
35.5;4.587
36;4.587
36.5;4.554
37;4.554
37.5;4.554
38;4.52
38.5;4.487
39;4.487
39.5;4.487
40;4.453
40.5;4.453
41;4.453
41.5;4.419
42;4.453
42.5;4.419
43;4.419
43.5;4.419
44;4.386
44.5;4.386
45;4.386
45.5;4.386
46;4.386
46.5;4.386
47;4.352
47.5;4.352
48;4.352
48.5;4.352
49;4.419
49.5;4.554
50;5.26
50.5;6.336
51;7.514
51.5;8.658
52;9.87
52.5;11.02
53;12.19
53.5;13.34
54;14.45
54.5;15.53
55;16.61
55.5;17.66
56;18.67
56.5;19.65
57;20.56
57.5;21.44
58;22.35
58.5;23.16
59;23.94
59.5;24.72
60;25.46
60.5;26.14
61;26.82
61.5;27.46
62;28.04
62.5;28.61
63;29.22
63.5;29.7
64;30.2
64.5;30.68
65;31.12
65.5;31.52
66;31.93
66.5;32.34
67;32.68
67.5;33.02
68;33.39
68.5;33.69
69;34
69.5;34.27
70;34.54
70.5;34.78
71;35.02
71.5;35.22
72;35.49
72.5;35.66
73;35.9
73.5;36.07
74;36.24
74.5;36.41
75;36.58
75.5;36.71
76;36.85
76.5;37.02
77;37.12
77.5;37.26
78;37.36
78.5;37.5
79;37.6
79.5;37.7
80;37.83
80.5;37.87
81;37.97
81.5;38.07
82;38.17
82.5;38.24
83;38.28
83.5;38.34
84;38.45
84.5;38.48
85;38.55
85.5;38.58
86;38.65
86.5;38.72
87;38.75
87.5;38.82
88;38.85
88.5;38.89
89;38.92
89.5;38.92
90;38.99
90.5;39.06
91;39.09
91.5;39.13
92;39.13
92.5;39.19
93;39.19
93.5;39.23
94;39.26
94.5;39.3
95;39.3
95.5;39.33
96;39.33
96.5;39.36
97;39.4
97.5;39.4
98;39.4
98.5;39.43
99;39.4
99.5;39.47
100;39.47
100.5;39.47
101;39.5
101.5;39.5
102;39.53
102.5;39.57
103;39.43
103.5;38.17
104;36.58
104.5;35.02
105;33.53
105.5;32.14
106;30.75
106.5;29.42
107;28.17
107.5;26.92
108;25.8
108.5;24.65
109;23.6
109.5;22.52
110;21.54
110.5;20.6
111;19.72
111.5;18.84
112;18
112.5;17.25
113;16.54
113.5;15.8
114;15.19
114.5;14.55
115;13.91
115.5;13.37
116;12.9
116.5;12.4
117;11.92
117.5;11.49
118;11.08
118.5;10.68
119;10.34
119.5;10
120;9.702
120.5;9.399
121;9.096
121.5;8.826
122;8.624
122.5;8.355
123;8.153
123.5;7.951
124;7.749
124.5;7.547
125;7.379
125.5;7.245
126;7.076
126.5;6.975
127;6.807
127.5;6.673
128;6.538
128.5;6.437
129;6.303
129.5;6.235
130;6.134
130.5;6.033
131;5.966
131.5;5.865
132;5.798
132.5;5.731
133;5.663
133.5;5.596
134;5.563
134.5;5.495
135;5.428
135.5;5.361
136;5.294
136.5;5.26
137;5.226
137.5;5.193
138;5.125
138.5;5.092
139;5.058
139.5;5.025
140;4.991
140.5;4.957
141;4.924
141.5;4.89
142;4.856
142.5;4.856
143;4.823
143.5;4.789
144;4.789
144.5;4.756
145;4.722
145.5;4.722
146;4.688
146.5;4.655
147;4.655
147.5;4.621
