# PhyPiDAQ Data recorder  210325-1403;;
#   logging interval 0.1;;
U_GPIO/V;U_C/V;t/s
3.29;3.287;0
3.291;3.287;0.1
3.291;3.287;0.2
3.291;3.287;0.3
3.29;3.287;0.4
3.289;3.287;0.5
3.291;3.287;0.6
3.286;3.286;0.7
3.285;3.285;0.8
-0.01213;3.002;0.9
-0.01225;2.746;1
-0.01288;2.515;1.1
-0.01275;2.306;1.2
-0.01275;2.114;1.3
-0.0125;1.938;1.4
-0.0135;1.778;1.5
-0.01338;1.632;1.6
-0.01313;1.498;1.7
-0.01313;1.376;1.8
-0.01363;1.265;1.9
-0.01363;1.162;2
-0.01375;1.067;2.1
-0.01363;0.9815;2.2
-0.0135;0.9029;2.3
-0.01338;0.8308;2.4
-0.01413;0.7648;2.5
-0.01375;0.704;2.6
-0.01338;0.6488;2.7
-0.0135;0.5973;2.8
-0.01275;0.55;2.9
-0.01338;0.5069;3
-0.01388;0.4678;3.1
-0.01338;0.4305;3.2
-0.01375;0.3973;3.3
-0.01263;0.3669;3.4
-0.01375;0.3386;3.5
-0.01375;0.3123;3.6
-0.01388;0.2893;3.7
-0.01375;0.267;3.8
-0.01325;0.2468;3.9
-0.01338;0.2281;4
-0.01375;0.2111;4.1
-0.013;0.1949;4.2
-0.01388;0.1806;4.3
-0.01363;0.1675;4.4
-0.01275;0.1553;4.5
-0.013;0.1438;4.6
-0.01313;0.1329;4.7
-0.01388;0.1235;4.8
-0.01275;0.1146;4.9
-0.01338;0.1069;5
-0.01288;0.09863;5.1
-0.01325;0.09213;5.2
-0.01313;0.0855;5.3
-0.0135;0.07913;5.4
-0.01338;0.07388;5.5
-0.01325;0.06825;5.6
-0.01388;0.06363;5.7
-0.01375;0.0595;5.8
-0.01338;0.05525;5.9
-0.01313;0.05163;6
3.29;0.2376;6.1
3.289;0.4959;6.2
3.289;0.7319;6.3
3.29;0.9483;6.4
3.289;1.143;6.5
3.289;1.321;6.6
3.289;1.484;6.7
3.29;1.634;6.8
3.29;1.769;6.9
3.29;1.894;7
3.29;2.009;7.1
3.29;2.113;7.2
3.29;2.208;7.3
3.29;2.296;7.4
3.29;2.375;7.5
3.29;2.449;7.6
3.29;2.516;7.7
3.291;2.579;7.8
3.29;2.635;7.9
3.291;2.687;8
3.29;2.735;8.1
3.29;2.779;8.2
3.291;2.819;8.3
3.29;2.855;8.4
3.29;2.889;8.5
3.291;2.92;8.6
3.291;2.949;8.7
3.291;2.975;8.8
3.29;2.999;8.9
3.291;3.021;9
3.29;3.042;9.1
3.291;3.06;9.2
3.29;3.078;9.3
3.29;3.094;9.4
3.291;3.108;9.5
3.29;3.122;9.6
