# PhyPiDAQ Data recorder  221106-1138;;;
#   logging interval 0.05;;;
 U_D:(mV);I_D:(mikroA);P_D:(nW);t:s
330.9;0.1875;0.06204;0
330.9;0.1719;0.05687;0.05
331;0.125;0.04138;0.1
331;0.1094;0.03621;0.15
331;0.125;0.04138;0.2
330.6;0.1563;0.05166;0.25
331;0.1563;0.05172;0.3
330.9;0.1563;0.0517;0.35
330.9;0.1406;0.04653;0.4
330.9;0.1719;0.05687;0.45
331;0.1406;0.04655;0.5
331;0.1406;0.04655;0.55
331.1;0.2031;0.06726;0.6
331.1;0.1563;0.05174;0.65
330.9;0.1563;0.0517;0.7
330.8;0.1406;0.04651;0.75
330.9;0.1406;0.04653;0.8
331;0.125;0.04138;0.85
331;0.1094;0.03621;0.9
331.3;0.125;0.04141;0.95
331.1;0.1094;0.03622;1
331.3;0.1406;0.04658;1.05
331.1;0.125;0.04139;1.1
331;0.1719;0.05689;1.15
331.1;0.2031;0.06726;1.2
331;0.1719;0.05689;1.25
330.9;0.1719;0.05687;1.3
331.1;0.1875;0.06209;1.35
331;0.1719;0.05689;1.4
331.3;0.1563;0.05176;1.45
331.3;0.1406;0.04658;1.5
331;0.2031;0.06724;1.55
331.1;0.1563;0.05174;1.6
331;0.1875;0.06207;1.65
331.1;0.2188;0.07244;1.7
331;0.1719;0.05689;1.75
331.1;0.1875;0.06209;1.8
331.1;0.2031;0.06726;1.85
330.9;0.1719;0.05687;1.9
331;0.1563;0.05172;1.95
331;0.1563;0.05172;2
331;0.1875;0.06207;2.05
331;0.1406;0.04655;2.1
331;0.1406;0.04655;2.15
331;0.1563;0.05172;2.2
331;0.1563;0.05172;2.25
330.9;0.1406;0.04653;2.3
331;0.1094;0.03621;2.35
330.9;0.1406;0.04653;2.4
331;0.125;0.04138;2.45
330.9;0.1406;0.04653;2.5
331;0.1094;0.03621;2.55
331.3;0.125;0.04141;2.6
331.1;0.07813;0.02587;2.65
331;0.1406;0.04655;2.7
329.8;0.1406;0.04637;2.75
321;0.09375;0.0301;2.8
313;0.125;0.03913;2.85
304.6;0.1094;0.03332;2.9
296.8;0.125;0.0371;2.95
288.9;0.125;0.03611;3
281.5;0.125;0.03519;3.05
274.1;0.1094;0.02998;3.1
266.8;0.1094;0.02918;3.15
259.9;0.09375;0.02436;3.2
253.1;0.07813;0.01978;3.25
246.6;0.07813;0.01927;3.3
240;0.07813;0.01875;3.35
234.3;0.1094;0.02562;3.4
228;0.0625;0.01425;3.45
222.1;0.0625;0.01388;3.5
216.1;0.0625;0.01351;3.55
210.6;0.0625;0.01316;3.6
205.3;0.09375;0.01924;3.65
200.1;0.09375;0.01876;3.7
194.9;0.1094;0.02132;3.75
189.9;0.1406;0.0267;3.8
184.9;0.1406;0.026;3.85
180.4;0.09375;0.01691;3.9
175.4;0.125;0.02192;3.95
170.9;0.125;0.02136;4
166.6;0.07813;0.01302;4.05
162.4;0.09375;0.01522;4.1
158.1;0.1094;0.0173;4.15
154;0.09375;0.01444;4.2
150;0.0625;0.009376;4.25
146.3;0.03125;0.004571;4.3
142.5;0.0625;0.008907;4.35
138.9;0.09375;0.01302;4.4
135.3;0.0625;0.008454;4.45
131.6;0.0625;0.008227;4.5
128.4;0.04688;0.006018;4.55
124.9;0.09375;0.01171;4.6
121.9;0.09375;0.01143;4.65
118.6;0.09375;0.01112;4.7
115.5;0.03125;0.00361;4.75
112.8;0.0625;0.007047;4.8
109.6;0.07813;0.008565;4.85
106.6;0.07813;0.008331;4.9
104.1;0.07813;0.008135;4.95
101.3;0.04688;0.004746;5
98.63;0.03125;0.003082;5.05
96.13;0.03125;0.003004;5.1
93.75;0.0625;0.00586;5.15
91.38;0.0625;0.005711;5.2
88.75;0.0625;0.005547;5.25
86.63;0.07813;0.006768;5.3
84.13;0.04688;0.003944;5.35
82;0.03125;0.002563;5.4
80;0.0625;0.005;5.45
78;0.0625;0.004875;5.5
75.25;0.09375;0.007055;5.55
73.75;0.09375;0.006914;5.6
72.13;0.1406;0.01014;5.65
69.88;0.125;0.008735;5.7
68.13;0.09375;0.006387;5.75
66.25;0.09375;0.006211;5.8
64.75;0.125;0.008094;5.85
63;0.125;0.007875;5.9
61.38;0.125;0.007672;5.95
59.63;0.125;0.007453;6
58.13;0.09375;0.005449;6.05
56.38;0.1406;0.007928;6.1
54.88;0.125;0.00686;6.15
53.38;0.07813;0.00417;6.2
52;0.09375;0.004875;6.25
50.75;0.07813;0.003965;6.3
49.5;0.09375;0.004641;6.35
48.13;0.1094;0.005264;6.4
47;0.1094;0.005141;6.45
45.5;0.125;0.005688;6.5
44.38;0.09375;0.00416;6.55
43.25;0.125;0.005406;6.6
42;0.125;0.00525;6.65
40.88;0.1406;0.005748;6.7
39.88;0.1406;0.005608;6.75
38.62;0.1563;0.006035;6.8
37.63;0.1406;0.005291;6.85
36.75;0.1406;0.005168;6.9
35.5;0.1094;0.003883;6.95
34.63;0.07813;0.002705;7
33.75;0.125;0.004219;7.05
32.88;0.1094;0.003596;7.1
32.13;0.09375;0.003012;7.15
31.25;0.1094;0.003418;7.2
30.25;0.1094;0.003309;7.25
29.5;0.125;0.003688;7.3
28.5;0.09375;0.002672;7.35
27.5;0.125;0.003438;7.4
27.12;0.1094;0.002967;7.45
26.12;0.125;0.003266;7.5
25.5;0.1563;0.003984;7.55
24.62;0.1094;0.002693;7.6
24;0.125;0.003;7.65
23.25;0.1406;0.00327;7.7
22.62;0.1563;0.003535;7.75
22;0.125;0.00275;7.8
21.37;0.1406;0.003006;7.85
20.75;0.125;0.002594;7.9
20.12;0.1406;0.00283;7.95
19.62;0.1406;0.00276;8
19.12;0.1719;0.003287;8.05
18.25;0.1563;0.002852;8.1
17.87;0.1719;0.003072;8.15
17.25;0.1719;0.002965;8.2
17;0.125;0.002125;8.25
16.37;0.1406;0.002303;8.3
15.87;0.1875;0.002976;8.35
15.37;0.1875;0.002883;8.4
15;0.1406;0.002109;8.45
14.37;0.1563;0.002246;8.5
14.12;0.1563;0.002207;8.55
13.62;0.1875;0.002555;8.6
13.12;0.1563;0.002051;8.65
12.62;0.1563;0.001973;8.7
12.37;0.1406;0.00174;8.75
11.87;0.125;0.001484;8.8
11.5;0.125;0.001437;8.85
11.25;0.125;0.001406;8.9
10.75;0.125;0.001344;8.95
10.5;0.125;0.001312;9
10;0.09375;0.0009375;9.05
9.624;0.1406;0.001353;9.1
9.374;0.1406;0.001318;9.15
9.124;0.125;0.001141;9.2
8.999;0.1719;0.001547;9.25
8.374;0.1094;0.000916;9.3
8.249;0.125;0.001031;9.35
7.999;0.1094;0.000875;9.4
7.624;0.1406;0.001072;9.45
7.249;0.1406;0.001019;9.5
6.999;0.1563;0.001094;9.55
6.624;0.1719;0.001139;9.6
6.624;0.1719;0.001139;9.65
5.999;0.1563;0.0009374;9.7
5.999;0.1406;0.0008436;9.75
5.749;0.1563;0.0008983;9.8
5.249;0.125;0.0006562;9.85
5.374;0.1563;0.0008397;9.9
5.124;0.125;0.0006405;9.95
4.749;0.1563;0.000742;10
4.499;0.125;0.0005624;10.05
4.374;0.1563;0.0006834;10.1
4.124;0.1406;0.00058;10.15
4.124;0.1563;0.0006444;10.2
3.874;0.1406;0.0005448;10.25
3.624;0.125;0.000453;10.3
3.374;0.1563;0.0005272;10.35
3.499;0.125;0.0004374;10.4
3.374;0.125;0.0004218;10.45
2.999;0.1563;0.0004686;10.5
2.624;0.125;0.000328;10.55
2.624;0.1719;0.000451;10.6
2.374;0.1563;0.0003709;10.65
2.249;0.1406;0.0003163;10.7
2.124;0.125;0.0002655;10.75
2.124;0.1094;0.0002323;10.8
1.999;0.1094;0.0002187;10.85
1.499;0.125;0.0001874;10.9
1.499;0.1094;0.000164;10.95
1.249;0.07813;9.76E-05;11
1.249;0.1094;0.0001366;11.05
0.999;0.125;0.0001249;11.1
1.124;0.1406;0.0001581;11.15
0.874;0.125;0.0001093;11.2
0.7494;0.07813;5.86E-05;11.25
0.7493;0.09375;7.03E-05;11.3
0.4991;0.1094;5.46E-05;11.35
0.2493;0.09375;2.34E-05;11.4
0.374;0.125;4.68E-05;11.45
0.3743;0.09375;3.51E-05;11.5
0.2491;0.1094;2.73E-05;11.55
0.1241;0.1094;1.36E-05;11.6
-0.0005;0.0625;-3.13E-08;11.65
-0.1265;0.1875;-2.37E-05;11.7
-0.376;0.125;-4.70E-05;11.75
-0.2509;0.1094;-2.74E-05;11.8
-0.5009;0.1094;-5.48E-05;11.85
-0.751;0.125;-9.39E-05;11.9
-0.5009;0.1094;-5.48E-05;11.95
-0.6261;0.1406;-8.81E-05;12
-0.7509;0.1094;-8.21E-05;12.05
-0.8759;0.1094;-9.58E-05;12.1
-1.126;0.09375;-0.0001055;12.15
-1.251;0.125;-0.0001564;12.2
-1.251;0.09375;-0.0001173;12.25
-1.251;0.09375;-0.0001173;12.3
-1.376;0.09375;-0.000129;12.35
-1.251;0.125;-0.0001564;12.4
-1.376;0.1094;-0.0001505;12.45
-1.376;0.1094;-0.0001505;12.5
-1.626;0.0625;-0.0001016;12.55
-1.751;0.09375;-0.0001641;12.6
-1.751;0.125;-0.0002189;12.65
-1.626;0.125;-0.0002033;12.7
-1.751;0.125;-0.0002189;12.75
-1.501;0.125;-0.0001876;12.8
-2.001;0.1094;-0.0002189;12.85
-1.876;0.1094;-0.0002052;12.9
-2.126;0.125;-0.0002658;12.95
-2.001;0.125;-0.0002501;13
-2.376;0.125;-0.000297;13.05
-2.251;0.125;-0.0002814;13.1
-2.251;0.1563;-0.0003518;13.15
-2.251;0.1406;-0.0003166;13.2
-2.501;0.125;-0.0003126;13.25
-2.126;0.1406;-0.000299;13.3
-2.251;0.1406;-0.0003166;13.35
-2.501;0.1406;-0.0003517;13.4
-2.501;0.1563;-0.0003908;13.45
-2.376;0.1094;-0.0002599;13.5
-2.751;0.125;-0.0003439;13.55
-2.626;0.1406;-0.0003693;13.6
-2.626;0.1563;-0.0004104;13.65
-2.626;0.1563;-0.0004104;13.7
-2.876;0.125;-0.0003595;13.75
-2.876;0.1406;-0.0004045;13.8
-2.751;0.125;-0.0003439;13.85
-2.751;0.1094;-0.0003009;13.9
-3.001;0.1094;-0.0003282;13.95
-2.876;0.1406;-0.0004045;14
-3.001;0.1094;-0.0003282;14.05
-3.001;0.1406;-0.0004221;14.1
-3.001;0.07813;-0.0002344;14.15
-3.126;0.1719;-0.0005374;14.2
-3.126;0.1719;-0.0005374;14.25
-3.127;0.1875;-0.0005863;14.3
-3.251;0.1406;-0.0004572;14.35
-3.251;0.125;-0.0004064;14.4
-3.001;0.1094;-0.0003282;14.45
-3.126;0.1094;-0.0003419;14.5
-3.251;0.1406;-0.0004572;14.55
-3.251;0.1094;-0.0003556;14.6
-3.376;0.1406;-0.0004748;14.65
-3.126;0.1406;-0.0004396;14.7
-3.251;0.125;-0.0004064;14.75
-3.626;0.1406;-0.00051;14.8
-3.626;0.1719;-0.0006233;14.85
-3.376;0.1563;-0.0005276;14.9
-3.626;0.125;-0.0004533;14.95
-3.376;0.1094;-0.0003693;15
-3.626;0.1406;-0.00051;15.05
-3.376;0.125;-0.000422;15.1
-3.501;0.1406;-0.0004924;15.15
-3.501;0.1563;-0.0005471;15.2
-3.626;0.1719;-0.0006233;15.25
-3.501;0.1563;-0.0005471;15.3
-3.501;0.1563;-0.0005471;15.35
-3.626;0.1719;-0.0006233;15.4
-3.751;0.1406;-0.0005275;15.45
-3.626;0.125;-0.0004533;15.5
-3.751;0.125;-0.0004689;15.55
-3.626;0.1406;-0.00051;15.6
-3.751;0.1406;-0.0005275;15.65
-3.877;0.1875;-0.0007269;15.7
-3.501;0.1563;-0.0005471;15.75
-3.751;0.1094;-0.0004103;15.8
-3.751;0.1563;-0.0005862;15.85
-3.876;0.1563;-0.0006057;15.9
-3.876;0.125;-0.0004845;15.95
-3.751;0.1094;-0.0004103;16
-3.876;0.1719;-0.0006663;16.05
-3.751;0.1406;-0.0005275;16.1
-3.877;0.1875;-0.0007269;16.15
-3.877;0.2031;-0.0007875;16.2
-3.627;0.1875;-0.00068;16.25
-3.876;0.1094;-0.0004239;16.3
-3.876;0.1094;-0.0004239;16.35
-4.001;0.1406;-0.0005627;16.4
-4.001;0.1094;-0.0004376;16.45
-3.876;0.1094;-0.0004239;16.5
-4.001;0.1094;-0.0004376;16.55
-4.251;0.1406;-0.0005979;16.6
-3.876;0.1094;-0.0004239;16.65
-3.751;0.125;-0.0004689;16.7
-4.001;0.1406;-0.0005627;16.75
-4.001;0.125;-0.0005002;16.8
-3.876;0.125;-0.0004845;16.85
-4.126;0.1563;-0.0006448;16.9
-4.001;0.1094;-0.0004376;16.95
-3.876;0.125;-0.0004845;17
-4.001;0.1094;-0.0004376;17.05
-3.876;0.1406;-0.0005451;17.1
-4.126;0.1406;-0.0005803;17.15
-4.126;0.1406;-0.0005803;17.2
-4.001;0.125;-0.0005002;17.25
-4.126;0.1406;-0.0005803;17.3
-4.126;0.1406;-0.0005803;17.35
-4.126;0.125;-0.0005158;17.4
-4.126;0.1563;-0.0006448;17.45
-4.126;0.1563;-0.0006448;17.5
-4.251;0.1563;-0.0006643;17.55
-4.376;0.125;-0.000547;17.6
-4.126;0.1406;-0.0005803;17.65
-4.126;0.09375;-0.0003868;17.7
-4.376;0.1406;-0.0006154;17.75
-4.001;0.125;-0.0005002;17.8
-4.251;0.1406;-0.0005979;17.85
-4.001;0.1094;-0.0004376;17.9
-4.252;0.1875;-0.0007972;17.95
-4.126;0.1563;-0.0006448;18
-4.251;0.125;-0.0005314;18.05
-4.251;0.1406;-0.0005979;18.1
-4.126;0.125;-0.0005158;18.15
-4.251;0.1094;-0.000465;18.2
-4.252;0.1719;-0.0007307;18.25
-4.376;0.1406;-0.0006154;18.3
-4.376;0.1094;-0.0004786;18.35
-4.376;0.1563;-0.0006838;18.4
-4.251;0.1563;-0.0006643;18.45
-4.377;0.1875;-0.0008206;18.5
-4.252;0.1875;-0.0007972;18.55
-4.376;0.1406;-0.0006154;18.6
-4.251;0.1563;-0.0006643;18.65
-4.376;0.125;-0.000547;18.7
-4.127;0.1719;-0.0007093;18.75
-4.376;0.1406;-0.0006154;18.8
-4.252;0.1719;-0.0007307;18.85
-4.127;0.1719;-0.0007093;18.9
-4.376;0.1563;-0.0006838;18.95
-4.251;0.1563;-0.0006643;19
-4.252;0.1875;-0.0007972;19.05
-4.502;0.1719;-0.0007737;19.1
-4.127;0.1875;-0.0007738;19.15
-4.251;0.1563;-0.0006643;19.2
-4.252;0.1875;-0.0007972;19.25
-4.376;0.125;-0.000547;19.3
-4.251;0.1563;-0.0006643;19.35
-4.251;0.1563;-0.0006643;19.4
-4.502;0.1875;-0.0008441;19.45
-4.127;0.1719;-0.0007093;19.5
-4.376;0.1563;-0.0006838;19.55
-4.377;0.2031;-0.0008891;19.6
-4.502;0.1719;-0.0007737;19.65
-4.501;0.1563;-0.0007034;19.7
-4.376;0.1563;-0.0006838;19.75
-4.502;0.2031;-0.0009144;19.8
-4.502;0.1719;-0.0007737;19.85
-4.376;0.1563;-0.0006838;19.9
-4.501;0.125;-0.0005627;19.95
-4.501;0.125;-0.0005627;20
-4.501;0.1406;-0.000633;20.05
-4.501;0.1094;-0.0004923;20.1
-4.501;0.1094;-0.0004923;20.15
-4.626;0.07813;-0.0003614;20.2
-4.501;0.09375;-0.000422;20.25
-4.501;0.1094;-0.0004923;20.3
-4.501;0.1094;-0.0004923;20.35
-4.376;0.1094;-0.0004786;20.4
6.155;-3.75;-0.02308;20.45
21.56;-6.953;-0.1499;20.5
37.07;-8.891;-0.3296;20.55
53.21;-10.03;-0.5337;20.6
69.09;-10.67;-0.7373;20.65
85.09;-11.06;-0.9413;20.7
101.1;-11.36;-1.148;20.75
117.5;-11.5;-1.351;20.8
133.5;-11.53;-1.539;20.85
149.3;-11.55;-1.725;20.9
165;-11.45;-1.889;20.95
180.6;-11.39;-2.057;21
195.8;-11.34;-2.222;21.05
211.6;-11.3;-2.39;21.1
227;-11.2;-2.543;21.15
242;-11.08;-2.681;21.2
256.3;-10.86;-2.784;21.25
270.1;-10.44;-2.819;21.3
282.5;-9.875;-2.789;21.35
293.5;-9.063;-2.66;21.4
302.4;-8.047;-2.434;21.45
309.9;-6.844;-2.121;21.5
315.4;-5.594;-1.764;21.55
319.4;-4.438;-1.417;21.6
321.9;-3.422;-1.102;21.65
324;-2.578;-0.8354;21.7
325.1;-1.875;-0.6097;21.75
326.1;-1.375;-0.4485;21.8
326.6;-0.9688;-0.3164;21.85
327.1;-0.6875;-0.2249;21.9
327.1;-0.4688;-0.1534;21.95
327.5;-0.3281;-0.1075;22
327.5;-0.2344;-0.07676;22.05
327.5;-0.1406;-0.04606;22.1
327.8;-0.09375;-0.03073;22.15
327.6;-0.03125;-0.01024;22.2
327.5;-0.03125;-0.01024;22.25
327.9;0;0;22.3
327.8;0.03125;0.01024;22.35
327.8;0.03125;0.01024;22.4
327.9;0.04688;0.01537;22.45
327.9;0.03125;0.01025;22.5
328;0.01563;0.005125;22.55
328;0.01563;0.005125;22.6
328;0.01563;0.005125;22.65
327.9;0.03125;0.01025;22.7
327.9;0.0625;0.02049;22.75
327.9;0.09375;0.03074;22.8
327.9;0.09375;0.03074;22.85
328;0.04688;0.01538;22.9
327.9;0.09375;0.03074;22.95
328;0.04688;0.01538;23
327.9;0.07813;0.02562;23.05
328.1;0.03125;0.01025;23.1
327.9;0.09375;0.03074;23.15
327.9;0.09375;0.03074;23.2
327.9;0.1094;0.03586;23.25
327.9;0.07813;0.02562;23.3
327.9;0.09375;0.03074;23.35
328;0.0625;0.0205;23.4
328.1;0.1094;0.03589;23.45
328;0.09375;0.03075;23.5
328;0.09375;0.03075;23.55
327.8;0.07813;0.02561;23.6
327.8;0.09375;0.03073;23.65
327.8;0.07813;0.02561;23.7
328;0.0625;0.0205;23.75
328;0.09375;0.03075;23.8
327.9;0.07813;0.02562;23.85
328;0.07813;0.02563;23.9
